zipcode,centile,superzip,rank,city,state,adultpop,households,college,income
38157,99.99999,1,,Memphis,TN,17,5,100%,261.5213
60043,99.99955,1,1,Kenilworth,IL,1581,732,88.86781%,261.5213
19732,99.99911,1,,Rockland,DE,46,19,84.78261%,261.5213
77010,99.99908,1,,Houston,TX,53,19,83.01887%,261.5213
10597,99.99901,1,,Waccabuc,NY,215,83,80.93023%,261.5213
60022,99.99741,1,2,Glencoe,IL,5578,2492,80.67408%,261.5213
7078,99.99359,1,3,Short Hills,NJ,8347,3692,79.22607%,261.5213
19736,99.99129,1,,Yorklyn,DE,40,22,77.5%,261.5213
94027,99.98998,1,4,Atherton,CA,4756,1859,75.63078%,261.5213
10514,99.98656,1,5,Chappaqua,NY,7648,3408,79.41946%,247.8817
46290,99.98444,1,,Indianapolis,IN,147,60,70.7483%,261.5213
33109,99.98431,1,,Miami Beach,FL,308,118,68.18182%,261.5213
10503,99.98418,1,,Ardsley on Hudson,NY,108,40,96.2963%,212.485
19035,99.98334,1,6,Gladwyne,PA,2962,1057,66.98177%,261.5213
94028,99.98116,1,7,Portola Valley,CA,4966,1918,80.588%,237.1163
92067,99.97844,1,8,Rancho Santa Fe,CA,4972,2103,64.70233%,261.5213
13475,99.97707,1,,Van Hornesville,NY,5,2,100%,199.1972
33945,99.97706,1,,Pineland,FL,69,24,63.76812%,261.5213
2493,99.97501,1,9,Weston,MA,7373,3035,75.09833%,236.7292
10577,99.97255,1,10,Purchase,NY,1573,663,69.67578%,244.5461
30327,99.96794,1,11,Atlanta,GA,15235,5781,78.18838%,228.7738
19085,99.9627,1,12,Villanova,PA,3841,1606,76.72481%,228.1906
2108,99.96086,1,13,Boston,MA,2874,592,72.51218%,229.9284
7021,99.95969,1,14,Essex Fells,NJ,1427,603,72.52978%,229.8748
11568,99.95869,1,15,Old Westbury,NY,2171,869,64.90096%,240.9881
6840,99.95459,1,16,New Canaan,CT,12802,5234,71.52789%,228.9385
10518,99.95078,1,17,Cross River,NY,1066,486,71.7636%,226.6908
90402,99.94816,1,18,Santa Monica,CA,8523,2984,70.46815%,227.7617
6820,99.94232,1,19,Darien,CT,12665,5409,70.44611%,227.2308
33921,99.93846,1,20,Boca Grande,FL,1432,605,68.64525%,227.9212
98243,99.93803,1,,Deer Harbor,WA,116,45,57.75862%,246.3035
90077,99.93584,1,21,Los Angeles,CA,7904,2910,70.81225%,223.2753
10162,99.93327,1,22,New York,NY,1415,480,82.75619%,202.5054
10069,99.93251,1,23,New York,NY,1376,422,84.15698%,200.017
60093,99.92861,1,24,Winnetka,IL,12842,5488,75.89161%,212.6249
2468,99.92398,1,25,Waban,MA,3980,1677,81.45729%,201.9248
60045,99.91901,1,26,Lake Forest,IL,14150,5921,72.71378%,216.464
10576,99.91423,1,27,Pound Ridge,NY,3257,1380,70.46362%,219.9017
6883,99.91158,1,28,Weston,CT,6403,2836,74.44948%,211.873
94022,99.90607,1,29,Los Altos,CA,13683,5376,73.66075%,213.161
2030,99.90133,1,30,Dover,MA,3586,1571,77.80256%,205.5129
