type,date,close
advert,2017-07-31T04:00:00Z,0.71
advert,2017-07-30T04:00:00Z,0.71
advert,2017-07-29T04:00:00Z,0.71
advert,2017-07-28T04:00:00Z,0.71
advert,2017-07-27T04:00:00Z,0.71
advert,2017-07-26T04:00:00Z,0.7
advert,2017-07-25T04:00:00Z,0.7
advert,2017-07-24T04:00:00Z,0.7
advert,2017-07-23T04:00:00Z,0.7
advert,2017-07-22T04:00:00Z,0.69
advert,2017-07-21T04:00:00Z,0.69
advert,2017-07-20T04:00:00Z,0.69
advert,2017-07-19T04:00:00Z,0.7
advert,2017-07-18T04:00:00Z,0.7
advert,2017-07-17T04:00:00Z,0.7
advert,2017-07-16T04:00:00Z,0.71
advert,2017-07-15T04:00:00Z,0.71
advert,2017-07-14T04:00:00Z,0.71
advert,2017-07-13T04:00:00Z,0.72
advert,2017-07-12T04:00:00Z,0.72
advert,2017-07-11T04:00:00Z,0.71
advert,2017-07-10T04:00:00Z,0.67
advert,2017-07-09T04:00:00Z,0.64
advert,2017-07-08T04:00:00Z,0.64
advert,2017-07-07T04:00:00Z,0.63
advert,2017-07-06T04:00:00Z,0.63
advert,2017-07-05T04:00:00Z,0.62
advert,2017-07-04T04:00:00Z,0.63
advert,2017-07-03T04:00:00Z,0.68
advert,2017-07-02T04:00:00Z,0.7
advert,2017-07-01T04:00:00Z,0.7
advert,2017-06-30T04:00:00Z,0.7
advert,2017-06-29T04:00:00Z,0.71
advert,2017-06-28T04:00:00Z,0.71
advert,2017-06-27T04:00:00Z,0.72
advert,2017-06-26T04:00:00Z,0.71
advert,2017-06-25T04:00:00Z,0.71
advert,2017-06-24T04:00:00Z,0.71
advert,2017-06-23T04:00:00Z,0.71
advert,2017-06-22T04:00:00Z,0.7
advert,2017-06-21T04:00:00Z,0.7
advert,2017-06-20T04:00:00Z,0.7
advert,2017-06-19T04:00:00Z,0.69
advert,2017-06-18T04:00:00Z,0.69
advert,2017-06-17T04:00:00Z,0.69
advert,2017-06-16T04:00:00Z,0.69
advert,2017-06-15T04:00:00Z,0.7
advert,2017-06-14T04:00:00Z,0.7
advert,2017-06-13T04:00:00Z,0.71
advert,2017-06-12T04:00:00Z,0.72
advert,2017-06-11T04:00:00Z,0.72
advert,2017-06-10T04:00:00Z,0.72
advert,2017-06-09T04:00:00Z,0.72
advert,2017-06-08T04:00:00Z,0.72
advert,2017-06-07T04:00:00Z,0.72
advert,2017-06-06T04:00:00Z,0.71
advert,2017-06-05T04:00:00Z,0.7
advert,2017-06-04T04:00:00Z,0.67
advert,2017-06-03T04:00:00Z,0.66
advert,2017-06-02T04:00:00Z,0.66
advert,2017-06-01T04:00:00Z,0.65
advert,2017-05-31T04:00:00Z,0.65
advert,2017-05-30T04:00:00Z,0.65
advert,2017-05-29T04:00:00Z,0.66
advert,2017-05-28T04:00:00Z,0.69
advert,2017-05-27T04:00:00Z,0.7
advert,2017-05-26T04:00:00Z,0.7
advert,2017-05-25T04:00:00Z,0.71
advert,2017-05-24T04:00:00Z,0.71
advert,2017-05-23T04:00:00Z,0.7
advert,2017-05-22T04:00:00Z,0.71
advert,2017-05-21T04:00:00Z,0.71
advert,2017-05-20T04:00:00Z,0.71
advert,2017-05-19T04:00:00Z,0.72
advert,2017-05-18T04:00:00Z,0.72
advert,2017-05-17T04:00:00Z,0.73
